community_area,tier,total_crime,spearman_temp,p_temp,spearman_prcp,p_prcp
CITYWIDE,citywide,1210059,0.552,5.2973011046155345e-146,-0.112,1.445959451699894e-06
25,top,61512,0.309,9.216461729512958e-42,-0.061,0.008589613555340629
8,top,52854,0.307,3.0078180491960726e-41,-0.058,0.013282807267821394
28,top,48228,0.274,8.544404190534122e-33,-0.081,0.0005119954130694367
40,mid,11712,0.205,1.02324854659615e-18,0.017,0.4623956821889582
14,mid,11476,0.104,7.745223598152224e-06,-0.046,0.04725722721390958
41,mid,11302,0.147,2.886895342506091e-10,-0.017,0.4631091124298775
12,bottom,2592,0.039,0.09906992035634556,0.009,0.6930107929461133
47,bottom,1571,0.076,0.001087487696418233,-0.018,0.4391157098832339
9,bottom,1407,0.013,0.5644264812225175,-0.023,0.31556813440907544
