community_area,n_rows,n_positive,false_negatives,false_positives,fn_rate,error_rate
26,731,74,24,418,0.32432432432432434,0.6046511627906976
44,731,116,43,392,0.3706896551724138,0.5950752393980848
1,731,243,100,327,0.411522633744856,0.5841313269493844
49,731,116,36,388,0.3103448275862069,0.5800273597811217
2,731,140,45,374,0.32142857142857145,0.573187414500684
4,731,145,55,360,0.3793103448275862,0.5677154582763337
10,731,100,41,371,0.41,0.5636114911080712
67,731,108,26,386,0.24074074074074073,0.5636114911080712
66,731,176,60,351,0.3409090909090909,0.5622435020519836
77,731,303,122,289,0.40264026402640263,0.5622435020519836
16,731,131,39,371,0.29770992366412213,0.560875512995896
48,731,123,49,360,0.3983739837398374,0.5595075239398085
73,731,154,47,362,0.3051948051948052,0.5595075239398085
11,731,106,42,365,0.39622641509433965,0.5567715458276333
9,731,129,54,353,0.4186046511627907,0.5567715458276333
19,731,224,79,326,0.35267857142857145,0.5540355677154583
29,731,107,23,382,0.21495327102803738,0.5540355677154583
55,731,252,113,291,0.44841269841269843,0.5526675786593708
12,731,116,45,357,0.3879310344827586,0.5499316005471956
76,731,143,51,349,0.35664335664335667,0.5471956224350205
54,731,162,65,334,0.4012345679012346,0.5458276333789329
25,731,181,52,347,0.287292817679558,0.5458276333789329
50,731,135,52,346,0.3851851851851852,0.5444596443228454
58,731,175,57,340,0.32571428571428573,0.5430916552667578
46,731,149,37,359,0.2483221476510067,0.5417236662106704
17,731,123,40,356,0.3252032520325203,0.5417236662106704
20,731,124,42,353,0.3387096774193548,0.5403556771545828
47,731,135,51,344,0.37777777777777777,0.5403556771545828
45,731,123,43,351,0.34959349593495936,0.5389876880984952
72,731,195,78,315,0.4,0.5376196990424077
30,731,235,79,314,0.33617021276595743,0.5376196990424077
64,731,130,46,345,0.35384615384615387,0.5348837209302325
43,731,213,63,327,0.29577464788732394,0.533515731874145
13,731,229,93,295,0.40611353711790393,0.53077975376197
74,731,126,41,346,0.3253968253968254,0.5294117647058824
36,731,148,53,333,0.3581081081081081,0.5280437756497948
53,731,145,33,353,0.22758620689655173,0.5280437756497948
51,731,194,65,320,0.33505154639175255,0.5266757865937073
56,731,275,97,288,0.3527272727272727,0.5266757865937073
65,731,291,111,271,0.38144329896907214,0.5225718194254446
68,731,182,48,332,0.26373626373626374,0.5198358413132695
23,731,218,65,315,0.2981651376146789,0.5198358413132695
31,731,214,63,317,0.29439252336448596,0.5198358413132695
27,731,139,26,354,0.18705035971223022,0.5198358413132695
62,731,206,78,301,0.3786407766990291,0.518467852257182
14,731,258,84,292,0.32558139534883723,0.5143638850889193
70,731,191,50,324,0.2617801047120419,0.5116279069767442
71,731,187,48,326,0.25668449197860965,0.5116279069767442
33,731,214,62,311,0.2897196261682243,0.5102599179206566
61,731,206,56,317,0.27184466019417475,0.5102599179206566
18,731,212,79,293,0.37264150943396224,0.5088919288645691
5,731,125,31,339,0.248,0.506155950752394
75,731,208,58,311,0.27884615384615385,0.5047879616963065
15,731,257,78,290,0.3035019455252918,0.5034199726402189
34,731,151,44,324,0.2913907284768212,0.5034199726402189
59,731,213,75,293,0.352112676056338,0.5034199726402189
41,731,287,92,273,0.3205574912891986,0.4993160054719562
40,731,254,76,288,0.2992125984251969,0.49794801641586867
42,731,245,66,291,0.2693877551020408,0.4883720930232558
52,731,234,76,280,0.3247863247863248,0.48700410396716826
38,731,225,58,297,0.2577777777777778,0.4856361149110807
21,731,318,104,250,0.3270440251572327,0.4842681258549932
60,731,235,73,280,0.31063829787234043,0.4829001367989056
35,731,217,50,301,0.2304147465437788,0.4801641586867305
57,731,262,90,260,0.3435114503816794,0.478796169630643
37,731,209,66,284,0.3157894736842105,0.478796169630643
63,731,341,113,235,0.3313782991202346,0.47606019151846785
69,731,223,53,294,0.23766816143497757,0.4746922024623803
39,731,257,69,272,0.26848249027237353,0.466484268125855
22,731,347,102,223,0.29394812680115273,0.44459644322845415
24,731,263,59,264,0.22433460076045628,0.4418604651162791
3,731,294,71,246,0.24149659863945577,0.43365253077975374
8,731,291,65,252,0.22336769759450173,0.43365253077975374
7,731,333,90,221,0.2702702702702703,0.42544459644322846
6,731,273,61,249,0.22344322344322345,0.4240766073871409
32,731,449,124,155,0.27616926503340755,0.3816689466484268
28,731,426,99,152,0.2323943661971831,0.3433652530779754
