feature,importance
week_of_year,0.18352066629605562
year,0.15396123993784258
month,0.12353694401089933
avg_temp,0.09860612014628424
quarter,0.08857805954770463
is_extreme_cold,0.05290687603744335
crime_rolling_14,0.028981277234275717
season_Winter,0.028429397176303235
recent_7d_avg,0.02771469188995658
season_Spring,0.027391037531135694
crime_rolling_7,0.024370756475512616
crime_rolling_28,0.02305201942480888
crime_count_lag_1,0.016987889891612453
AWND,0.015616694944931484
SNOW,0.015484765050337612
previous_7d_avg,0.011997218379799984
crime_count_lag_3,0.011989325567913383
PRCP,0.011560491934245217
crime_count_lag_7,0.009292656618588599
temp_range,0.008942094100687059
crime_count_lag_14,0.007252314381201847
is_snow,0.006688453062131676
crime_count_lag_28,0.0066517311115701135
day_of_week,0.005941927703029017
season_Summer,0.0037185172623807007
is_rain,0.002689270327035294
is_weekend,0.0022801096454939528
is_heavy_snow,0.0010385075652005376
is_heavy_rain,0.0005006581464473224
is_extreme_heat,0.00031828859917134645
